user_email,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
user2026+adam.davis@zohomail.eu,0.00449119635427854,0.0021727237011190535,0.006346297053492231,0.011628601779690976,0.004910263263629954,0.032631075894545176,0.006699802694006372,0.006552728020241254,0.0001834202250978491,0.03485802552021869,0.009423104068707003,0.006666930338985826,0.001900251501159824,0.0018941568581493568,0.26282774382422186,0.017669942236819513,0.006144244903024002,0.007911413314688281,0.012754904893423964,0.4416612098117563,0.03189304020614939,0.016064108521427096,0.04206174334452927,0.02526481424306425,0.005388257427573952
user2026+andrea.harper@zohomail.eu,0.013900019801903597,0.0008140017750372788,0.01935406423928812,0.07102874444664263,0.014109617713967066,0.06189619963853676,0.011059564026211237,0.0066456784788952875,0.00035104766395833184,0.027777392955387618,0.013700147241998797,0.0172573532275682,0.0040694215775071265,0.003796331288003398,0.24170407153628623,0.06436377720302999,0.017688548934979637,0.02089698839928676,0.020147683902435723,0.0962498909522616,0.05594566418522664,0.03330427526359657,0.10908739172130218,0.06655019631970571,0.00830192750698331
user2026+angela.bennett@zohomail.eu,0.006041151936572607,0.0021768913120475356,0.004674426842384958,0.006605261430106128,0.016728918703365108,0.015175269814308357,0.0033908269659849153,0.025927966219507676,0.00013204818867620398,0.028180794241721794,0.012164374283806104,0.008535337542318189,0.002530102573368394,0.0036136670790324395,0.21758494336418163,0.014350790948391558,0.03914479624010172,0.044184419245254916,0.007949026437543805,0.3963251338273337,0.03441555917489379,0.025854799918812257,0.05199980782025017,0.021856236543566377,0.010457449346469649
user2026+anthony.chapman@zohomail.eu,0.006782052660168552,0.10209845894371736,0.0175120651431487,0.016135015618344854,0.09273524195923162,0.04654659351460753,0.017263019801498886,0.09020497020206922,0.0005949926428346436,0.06555118749617403,0.00804457868095933,0.017736756751403997,0.019209857567847436,0.059218931484073214,0.01669005045974639,0.02836964456155518,0.1063007897003737,0.024948058376367616,0.013568858985562426,0.004307305985404107,0.04796750372493763,0.05621263713774665,0.022161364009326064,0.0374895197385332,0.0823505448543678
user2026+anthony.finley@zohomail.eu,0.009168235907600228,0.007749867346933356,0.022086687536407752,0.014244717713836882,0.023972394731415027,0.03582760083615359,0.04921220262543077,0.021146278441651935,0.038793041894018394,0.028500518623646123,0.019117531447769866,0.028458208576819615,0.005342992650583003,0.011790964553916752,0.052705843307914925,0.026663131736572806,0.027033861326895756,0.2525747497211905,0.030509548213039986,0.03932936128039325,0.09554671609186764,0.06948752682143314,0.04537681366037865,0.03335371379533113,0.012007491158799009
user2026+carl.houston@zohomail.eu,0.0038217732211442493,0.0019157308712252218,0.003271358523679192,0.012251866515960507,0.0031260261220174596,0.009092276958219235,0.007134559867540283,0.00117984733437836,0.0005315780285452607,0.020712728673738263,0.0031666125504596445,0.004190783755462285,0.001677368232778838,0.0005238980572041836,0.6140099019108314,0.011391244041953455,0.004033671250514308,0.004489471002261297,0.013914557128487997,0.18072420489734156,0.020722415250517944,0.012600677587128267,0.04462841114371101,0.018482954604886335,0.0024060824700134842
user2026+chad.burns@zohomail.eu,0.0015269087284684546,0.0032472985079989728,0.0015248282685771278,0.008012474179452667,0.0006904154016914299,0.010670587768597197,0.007553397332363914,0.0019516980009889836,0.00026097301970701587,0.02600308632500954,0.0048237788148418346,0.002103291635421327,0.0001968085688236281,0.0005087168895763136,0.44163674631242167,0.00863504634847092,0.004047508624602154,0.0070276019004118975,0.015182377715978197,0.36800120180327167,0.02359619156585182,0.01038554317546471,0.03803578669964698,0.012743879785670058,0.0016338526266915752
user2026+dale.webb@zohomail.eu,0.0038369824673903053,0.0015490635105731032,0.007268760994562408,0.012229924775056649,0.0037578587720862207,0.017978796997256904,0.0014954808931042446,0.0017771287449449232,0.00038072379301648594,0.03214218733498784,0.006418653180116274,0.010372899960367698,0.0007894359964974965,0.0019453888283929791,0.36188189343451693,0.02471104532543106,0.007781824360844764,0.016877677824455227,0.008529885374102182,0.330629682708733,0.03327939324933592,0.014949856181925151,0.058711410171296344,0.037454953433438076,0.003249091687567872
user2026+daniel.becker@zohomail.eu,0.01229693419938367,0.002232823354959862,0.01259838004941233,0.04835089827665426,0.015448431638275422,0.04124753578362443,0.07859182651622822,0.0048297182450151655,0.0010482070517477272,0.08130957715240297,0.02040614429693084,0.018198128043898115,0.003347266502092073,0.002980283990346033,0.11509926096201861,0.06930188280118242,0.013967110128319329,0.015020109881637671,0.08339129195353229,0.1662116388100106,0.057942442401583485,0.03202996908419247,0.047308936696605984,0.05169816174059887,0.005143040439346892
user2026+david.zamora@zohomail.eu,0.006321516543264122,0.024431520653585406,0.01017884440295582,0.0077845888168925235,0.16151154473529855,0.027377758088463426,0.012495075715128407,0.14124852570127572,0.0015372342169501548,0.014542850117486251,0.0012071352332440823,0.011691785277791687,0.03183994023106031,0.03213238070184994,0.00828640008590272,0.015338654482753379,0.2374533991702748,0.01778153878479523,0.00975613081358683,0.0029557643935639115,0.03178145408566187,0.05813026335969466,0.019147563096979507,0.03913150021876474,0.07593663107277597
